query_id,query_text,relevant_doc_ids
Q1,제주도 올레길 트레킹 코스 추천,D1=3;D4=1;D30=1
Q2,전주 비빔밥 vs 진주 비빔밥 재료 및 맛 차이,D2=3
Q3,걸스데이 대표 히트곡 목록 알려줘,D3=3
Q4,훈민정음 창제 배경과 세종대왕의 의의,D4=3
Q5,이순신 장군이 명량 해전에서 사용한 전술은 무엇인가?,D5=3
Q6,2024년 기후 변화 주요 지표와 한국의 탄소 중립 정책,D6=3;D14=2;D26=1
Q7,한국 AI 윤리 이슈와 관련 정책 사례는?,D7=3;D25=2
Q8,서울 지하철 환승 시 T-money 사용 방법,D8=3
Q9,판소리 춘향가 줄거리와 공연 특징,D9=3
Q10,한국 축구 대표팀 2002년 한일 월드컵 4강 진출 이유,D10=3
Q11,건강한 생활습관 중 스트레스 관리 방법,D11=3
Q12,서울 근교 당일치기 여행지로 가평과 양평 중 추천,D12=3;D1=1
Q13,비빔밥을 저칼로리 다이어트 식단으로 활용하는 방법,D13=3;D11=1
Q14,AI 기반 기후 예측 논문 사례와 연구 기관,D14=3;D26=2
Q15,가야금 연주법과 현대 국악 앙상블 활용 사례,D15=3
Q16,전통 혼례 절차 중 폐백·예단의 의미,D16=3
Q17,2023년 한국 영화 Top10 중 액션 장르 영화,D17=3;D10=1
Q18,윈도우즈에서 matplotlib 한글 출력 설정,D18=3
Q19,코드 악취를 식별하고 리팩토링하는 방법,D19=3;D20=1
Q20,JUnit5와 JUnit4 차이점 및 Eclipse 설정 방법,D20=3
Q21,Wheel of Fortune 게임에서 전략적 알파벳 선택 방법,D21=3
Q22,싱글톤 패턴 구현 시 멀티스레드 안전성 보장 방법,D22=3
Q23,Strategy 패턴을 이용한 결제 시스템 구현 예,D23=3
Q24,Command 패턴으로 Undo 기능 구현하기,D24=3
Q25,2025년 한국 AI 정책의 주요 내용과 인재 양성 전략,D25=3
Q26,딥러닝 기반 기상 예측 모델 비교(LSTM vs Transformer),D26=3;D14=2
Q27,ChromaDB와 Qdrant 중 벡터 검색 성능 비교,D27=3;D26=1
Q28,Contextual Compression 적용 후 검색 성능 평가 방법,D28=3;D6=1
Q29,Self-Query Retriever로 생성할 만한 가상 질의 예시,D29=3
Q30,세종대왕 훈민정음 배경을 바탕으로 AI 윤리 가이드라인 사례 찾기 (Multi-Hop),D4=3;D7=2;D25=1

