query_id,query_text,hop1_relevant_ids,hop2_relevant_ids
Q01,저자 김민수이 쓴 문서의 카테고리와 동일한 다른 문서를 찾아줘,D1=1;D11=1;D21=1,D1=1;D8=1;D12=1
Q02,저자 이영희이 쓴 문서의 카테고리와 동일한 다른 문서를 찾아줘,D2=1;D12=1;D22=1,D2=1;D13=1
Q03,저자 박지훈이 쓴 문서의 카테고리와 동일한 다른 문서를 찾아줘,D3=1;D13=1;D23=1,D3=1;D9=1;D15=1;D16=1;D17=1
Q04,저자 최수정이 쓴 문서의 카테고리와 동일한 다른 문서를 찾아줘,D4=1;D14=1;D24=1,D4=1;D5=1;D9=1;D10=1;D15=1;D16=1
Q05,저자 정우성이 쓴 문서의 카테고리와 동일한 다른 문서를 찾아줘,D5=1;D15=1;D25=1,D4=1;D5=1;D9=1;D10=1;D15=1;D16=1
Q06,저자 한예슬이 쓴 문서의 카테고리와 동일한 다른 문서를 찾아줘,D6=1;D16=1;D26=1,D6=1;D14=1;D26=1
Q07,저자 강다니엘이 쓴 문서의 카테고리와 동일한 다른 문서를 찾아줘,D7=1;D17=1;D27=1,D7=1;D14=1;D18=1;D19=1;D20=1;D21=1;D22=1;D23=1;D24=1;D25=1;D26=1;D27=1;D28=1;D29=1;D30=1
Q08,저자 오정연이 쓴 문서의 카테고리와 동일한 다른 문서를 찾아줘,D8=1;D18=1;D28=1,D8=1
Q09,저자 신동엽이 쓴 문서의 카테고리와 동일한 다른 문서를 찾아줘,D9=1;D19=1;D29=1,D3=1;D9=1;D15=1;D16=1;D17=1
Q10,저자 윤아름이 쓴 문서의 카테고리와 동일한 다른 문서를 찾아줘,D10=1;D20=1;D30=1,D10=1
Q11,카테고리 AI에 속한 문서를 쓴 저자의 다른 문서를 찾아줘,D7=1;D28=1;D29=1;D30=1,D7=1;D17=1;D27=1
Q12,카테고리 건강에 속한 문서를 쓴 저자의 다른 문서를 찾아줘,D11=1;D13=1,D1=1;D11=1;D21=1
Q13,카테고리 검색에 속한 문서를 쓴 저자의 다른 문서를 찾아줘,D28=1;D29=1;D30=1,D8=1;D18=1;D28=1
Q14,카테고리 게임에 속한 문서를 쓴 저자의 다른 문서를 찾아줘,D21=1,D1=1;D11=1;D21=1
Q15,카테고리 과학에 속한 문서를 쓴 저자의 다른 문서를 찾아줘,D6=1;D14=1;D26=1,D6=1;D16=1;D26=1
Q16,카테고리 교육에 속한 문서를 쓴 저자의 다른 문서를 찾아줘,D4=1,D4=1;D14=1;D24=1
Q17,카테고리 교통에 속한 문서를 쓴 저자의 다른 문서를 찾아줘,D8=1,D8=1;D18=1;D28=1
Q18,카테고리 군사에 속한 문서를 쓴 저자의 다른 문서를 찾아줘,D5=1,D5=1;D15=1;D25=1
Q19,카테고리 기술에 속한 문서를 쓴 저자의 다른 문서를 찾아줘,D7=1;D14=1;D18=1;D19=1;D20=1;D21=1;D22=1;D23=1;D24=1;D25=1;D26=1;D27=1;D28=1;D29=1;D30=1,D7=1;D17=1;D27=1
Q20,카테고리 데이터베이스에 속한 문서를 쓴 저자의 다른 문서를 찾아줘,D27=1,D7=1;D17=1;D27=1
Q21,카테고리가 문화인 문서 중 카테고리가 음악인 문서를 찾아줘,D3=1;D9=1;D15=1;D16=1;D17=1,D3=1;D9=1;D15=1
Q22,카테고리가 역사인 문서 중 카테고리가 교육인 문서를 찾아줘,D4=1;D5=1;D9=1;D10=1;D15=1;D16=1,D4=1
Q23,카테고리가 역사인 문서 중 카테고리가 군사인 문서를 찾아줘,D4=1;D5=1;D9=1;D10=1;D15=1;D16=1,D5=1
Q24,카테고리가 환경인 문서 중 카테고리가 과학인 문서를 찾아줘,D6=1;D14=1;D26=1,D6=1;D14=1;D26=1
Q25,카테고리가 기술인 문서 중 카테고리가 윤리인 문서를 찾아줘,D7=1;D14=1;D18=1;D19=1;D20=1;D21=1;D22=1;D23=1;D24=1;D25=1;D26=1;D27=1;D28=1;D29=1;D30=1,D7=1
Q26,카테고리가 교통인 문서 중 카테고리가 여행인 문서를 찾아줘,D8=1,D1=1;D8=1;D12=1
Q27,카테고리가 문화인 문서 중 카테고리가 음악인 문서를 찾아줘,D3=1;D9=1;D15=1;D16=1;D17=1,D3=1;D9=1;D15=1
Q28,카테고리가 스포츠인 문서 중 카테고리가 역사인 문서를 찾아줘,D10=1,D4=1;D5=1;D9=1;D10=1;D15=1;D16=1
Q29,카테고리가 건강인 문서 중 카테고리가 생활인 문서를 찾아줘,D11=1;D13=1,D11=1
Q30,카테고리가 여행인 문서 중 카테고리가 레저인 문서를 찾아줘,D1=1;D8=1;D12=1,D12=1

